molecule_index,name,atoms,bonds
160,mol_000160,34,34
161,mol_000161,78,78
162,mol_000162,44,45
163,mol_000163,77,80
164,mol_000164,49,52
165,mol_000165,31,33
166,mol_000166,46,48
167,mol_000167,48,46
168,mol_000168,47,48
169,mol_000169,35,38
170,mol_000170,39,41
171,mol_000171,41,42
172,mol_000172,75,74
173,mol_000173,44,45
174,mol_000174,37,39
175,mol_000175,37,39
176,mol_000176,84,89
177,mol_000177,39,40
178,mol_000178,38,40
179,mol_000179,35,37
180,mol_000180,27,30
181,mol_000181,37,39
182,mol_000182,39,41
183,mol_000183,16,17
184,mol_000184,25,26
185,mol_000185,42,44
186,mol_000186,51,50
187,mol_000187,34,36
188,mol_000188,38,37
189,mol_000189,68,70
190,mol_000190,44,43
191,mol_000191,56,58
192,mol_000192,49,51
193,mol_000193,48,50
194,mol_000194,42,41
195,mol_000195,16,17
196,mol_000196,25,26
197,mol_000197,41,42
198,mol_000198,69,70
199,mol_000199,39,41
200,mol_000200,27,26
201,mol_000201,62,64
202,mol_000202,63,65
203,mol_000203,68,69
204,mol_000204,39,42
205,mol_000205,86,89
206,mol_000206,44,48
207,mol_000207,22,23
208,mol_000208,30,32
209,mol_000209,54,57
210,mol_000210,53,57
211,mol_000211,37,38
212,mol_000212,43,44
213,mol_000213,47,49
214,mol_000214,30,29
215,mol_000215,45,46
216,mol_000216,51,54
217,mol_000217,49,49
218,mol_000218,75,74
219,mol_000219,41,42
220,mol_000220,20,21
221,mol_000221,65,67
222,mol_000222,32,31
223,mol_000223,24,26
224,mol_000224,37,38
225,mol_000225,27,31
226,mol_000226,30,32
227,mol_000227,43,44
228,mol_000228,39,39
229,mol_000229,70,73
230,mol_000230,36,39
231,mol_000231,15,15
232,mol_000232,26,26
233,mol_000233,48,50
234,mol_000234,60,62
235,mol_000235,34,36
236,mol_000236,32,32
237,mol_000237,41,42
238,mol_000238,26,25
239,mol_000239,31,31
240,mol_000240,43,44
241,mol_000241,19,19
242,mol_000242,43,44
243,mol_000243,31,32
244,mol_000244,41,41
245,mol_000245,48,48
246,mol_000246,36,40
247,mol_000247,46,49
248,mol_000248,29,30
249,mol_000249,25,26
250,mol_000250,60,63
251,mol_000251,128,130
252,mol_000252,48,51
253,mol_000253,52,51
254,mol_000254,44,45
255,mol_000255,33,35
256,mol_000256,35,37
257,mol_000257,59,64
258,mol_000258,48,51
259,mol_000259,33,33
260,mol_000260,45,47
261,mol_000261,48,50
262,mol_000262,22,23
263,mol_000263,30,31
264,mol_000264,30,32
265,mol_000265,31,33
266,mol_000266,49,49
267,mol_000267,41,42
268,mol_000268,31,31
269,mol_000269,32,32
270,mol_000270,45,46
271,mol_000271,35,35
272,mol_000272,32,33
273,mol_000273,36,37
274,mol_000274,38,35
275,mol_000275,32,33
276,mol_000276,31,32
277,mol_000277,41,43
278,mol_000278,33,36
279,mol_000279,46,46
280,mol_000280,26,26
281,mol_000281,30,30
282,mol_000282,108,111
283,mol_000283,54,55
284,mol_000284,21,21
285,mol_000285,25,26
286,mol_000286,35,34
287,mol_000287,41,43
288,mol_000288,28,29
289,mol_000289,41,42
290,mol_000290,8,6
291,mol_000291,44,44
292,mol_000292,17,17
293,mol_000293,44,47
294,mol_000294,39,40
295,mol_000295,36,37
296,mol_000296,39,39
297,mol_000297,35,36
298,mol_000298,92,97
299,mol_000299,29,29
300,mol_000300,40,41
301,mol_000301,22,22
302,mol_000302,34,36
303,mol_000303,42,41
304,mol_000304,38,38
305,mol_000305,30,31
306,mol_000306,17,17
307,mol_000307,31,32
308,mol_000308,39,40
309,mol_000309,58,60
310,mol_000310,52,53
311,mol_000311,36,37
312,mol_000312,16,16
313,mol_000313,26,27
314,mol_000314,29,29
315,mol_000315,26,27
316,mol_000316,16,16
317,mol_000317,27,28
318,mol_000318,36,38
319,mol_000319,37,38
320,mol_000320,41,41
321,mol_000321,47,48
322,mol_000322,67,69
323,mol_000323,29,30
324,mol_000324,32,33
325,mol_000325,41,42
326,mol_000326,27,28
327,mol_000327,29,29
328,mol_000328,29,30
329,mol_000329,16,16
330,mol_000330,25,26
331,mol_000331,32,32
332,mol_000332,40,41
333,mol_000333,26,26
334,mol_000334,51,51
335,mol_000335,38,39
336,mol_000336,77,76
337,mol_000337,72,72
338,mol_000338,40,39
339,mol_000339,39,41
340,mol_000340,30,29
341,mol_000341,52,54
342,mol_000342,48,51
343,mol_000343,38,39
344,mol_000344,33,32
345,mol_000345,32,32
346,mol_000346,33,35
347,mol_000347,27,28
348,mol_000348,47,48
349,mol_000349,46,46
350,mol_000350,33,34
351,mol_000351,37,38
352,mol_000352,35,37
353,mol_000353,45,46
354,mol_000354,56,57
355,mol_000355,40,41
356,mol_000356,36,37
357,mol_000357,15,16
358,mol_000358,34,35
359,mol_000359,52,54
360,mol_000360,44,45
361,mol_000361,28,29
362,mol_000362,33,33
363,mol_000363,48,51
364,mol_000364,42,44
365,mol_000365,47,49
366,mol_000366,33,36
367,mol_000367,40,41
368,mol_000368,47,49
369,mol_000369,55,56
370,mol_000370,69,71
371,mol_000371,44,45
372,mol_000372,40,43
373,mol_000373,22,23
374,mol_000374,37,40
375,mol_000375,42,46
376,mol_000376,47,50
377,mol_000377,49,52
378,mol_000378,37,36
379,mol_000379,45,48
380,mol_000380,25,26
381,mol_000381,39,42
382,mol_000382,57,62
383,mol_000383,39,42
384,mol_000384,32,34
385,mol_000385,30,32
386,mol_000386,53,55
387,mol_000387,42,43
388,mol_000388,43,46
389,mol_000389,43,43
390,mol_000390,43,42
391,mol_000391,45,46
392,mol_000392,109,114
393,mol_000393,49,51
394,mol_000394,67,67
395,mol_000395,13,12
396,mol_000396,36,36
397,mol_000397,30,30
398,mol_000398,20,20
399,mol_000399,21,23
400,mol_000400,50,52
401,mol_000401,13,13
402,mol_000402,38,40
403,mol_000403,22,15
404,mol_000404,22,15
405,mol_000405,17,17
406,mol_000406,18,19
407,mol_000407,51,54
408,mol_000408,30,30
409,mol_000409,35,37
