molecule_index,name,atoms,bonds
73,"Largest isolated from Written by BCL::WriteToMDL,1476513",37,39
74,"Largest isolated from Written by BCL::WriteToMDL,19579917",36,36
75,"Largest isolated from Written by BCL::WriteToMDL,2934578",52,53
76,"Largest isolated from Written by BCL::WriteToMDL,2850095",37,39
77,"Largest isolated from Written by BCL::WriteToMDL,776996",45,47
78,"Largest isolated from Written by BCL::WriteToMDL,1225417",39,41
79,"Largest isolated from Written by BCL::WriteToMDL,6911430",41,43
80,"Largest isolated from Written by BCL::WriteToMDL,24789258",61,64
81,"Largest isolated from Written by BCL::WriteToMDL,6898249",37,38
82,"Largest isolated from Written by BCL::WriteToMDL,1973366",44,45
83,"Largest isolated from Written by BCL::WriteToMDL,2057144",33,36
84,"Largest isolated from Written by BCL::WriteToMDL,657581",40,42
85,"Largest isolated from Written by BCL::WriteToMDL,2738173",39,41
86,"Largest isolated from Written by BCL::WriteToMDL,2997969",46,48
87,"Largest isolated from Written by BCL::WriteToMDL,5390025",39,41
88,"Largest isolated from Written by BCL::WriteToMDL,2935293",49,50
89,"Largest isolated from Written by BCL::WriteToMDL,766823",46,47
90,"Largest isolated from Written by BCL::WriteToMDL,2978550",40,41
91,"Largest isolated from Written by BCL::WriteToMDL,2952997",37,39
92,"Largest isolated from Written by BCL::WriteToMDL,1480282",30,31
93,"Largest isolated from Written by BCL::WriteToMDL,6323818",41,43
94,"Largest isolated from Written by BCL::WriteToMDL,8232846",45,47
95,"Largest isolated from Written by BCL::WriteToMDL,23723102",51,52
96,"Largest isolated from Written by BCL::WriteToMDL,2045841",46,48
97,"Largest isolated from Written by BCL::WriteToMDL,24746835",40,42
98,"Largest isolated from Written by BCL::WriteToMDL,24240380",48,49
99,"Largest isolated from Written by BCL::WriteToMDL,2934374",52,53
100,"Largest isolated from Written by BCL::WriteToMDL,24761107",37,39
101,"Largest isolated from Written by BCL::WriteToMDL,2899426",48,49
102,"Largest isolated from Written by BCL::WriteToMDL,17367616",48,50
103,"Largest isolated from Written by BCL::WriteToMDL,2896543",46,47
104,"Largest isolated from Written by BCL::WriteToMDL,2969907",40,41
105,"Largest isolated from Written by BCL::WriteToMDL,2934526",41,42
106,"Largest isolated from Written by BCL::WriteToMDL,24684626",39,41
107,"Largest isolated from Written by BCL::WriteToMDL,16192635",50,52
108,"Largest isolated from Written by BCL::WriteToMDL,882485",39,39
109,"Largest isolated from Written by BCL::WriteToMDL,23724050",62,64
110,"Largest isolated from Written by BCL::WriteToMDL,2215920",40,41
111,"Largest isolated from Written by BCL::WriteToMDL,6470043",43,44
112,"Largest isolated from Written by BCL::WriteToMDL,1478763",38,39
113,"Largest isolated from Written by BCL::WriteToMDL,5664176",38,39
114,"Largest isolated from Written by BCL::WriteToMDL,2998200",35,37
115,"Largest isolated from Written by BCL::WriteToMDL,693414",34,35
116,"Largest isolated from Written by BCL::WriteToMDL,24819210",45,47
117,"Largest isolated from Written by BCL::WriteToMDL,2367813",34,36
118,"Largest isolated from Written by BCL::WriteToMDL,2935256",43,44
119,"Largest isolated from Written by BCL::WriteToMDL,695106",46,48
120,"Largest isolated from Written by BCL::WriteToMDL,2841713",33,34
121,"Largest isolated from Written by BCL::WriteToMDL,17367564",38,39
122,"Largest isolated from Written by BCL::WriteToMDL,3830432",43,44
123,"Largest isolated from Written by BCL::WriteToMDL,656332",48,50
124,"Largest isolated from Written by BCL::WriteToMDL,2805173",33,35
125,"Largest isolated from Written by BCL::WriteToMDL,2337473",36,38
126,"Largest isolated from Written by BCL::WriteToMDL,2998207",32,34
127,"Largest isolated from Written by BCL::WriteToMDL,1442565",42,44
128,"Largest isolated from Written by BCL::WriteToMDL,2415521",44,46
129,"Largest isolated from Written by BCL::WriteToMDL,1988912",44,45
130,"Largest isolated from Written by BCL::WriteToMDL,17367442",47,49
131,"Largest isolated from Written by BCL::WriteToMDL,2813491",40,42
132,"Largest isolated from Written by BCL::WriteToMDL,2951933",42,44
133,"Largest isolated from Written by BCL::WriteToMDL,2053713",44,44
134,"Largest isolated from Written by BCL::WriteToMDL,2569114",49,50
135,"Largest isolated from Written by BCL::WriteToMDL,16195106",45,47
136,"Largest isolated from Written by BCL::WriteToMDL,791864",44,46
137,"Largest isolated from Written by BCL::WriteToMDL,2842642",38,39
138,"Largest isolated from Written by BCL::WriteToMDL,1267712",44,47
139,"Largest isolated from Written by BCL::WriteToMDL,3238125",38,38
140,"Largest isolated from Written by BCL::WriteToMDL,20937322",40,41
141,"Largest isolated from Written by BCL::WriteToMDL,2987440",38,41
142,"Largest isolated from Written by BCL::WriteToMDL,2831789",37,39
143,"Largest isolated from Written by BCL::WriteToMDL,666977",52,55
144,"Largest isolated from Written by BCL::WriteToMDL,4313716",52,53
145,"Largest isolated from Written by BCL::WriteToMDL,16194857",46,48
146,"Largest isolated from Written by BCL::WriteToMDL,17367817",40,42
147,"Largest isolated from Written by BCL::WriteToMDL,16197172",46,48
148,"Largest isolated from Written by BCL::WriteToMDL,4213523",41,42
149,"Largest isolated from Written by BCL::WriteToMDL,2827417",56,57
150,"Largest isolated from Written by BCL::WriteToMDL,2846545",44,46
151,"Largest isolated from Written by BCL::WriteToMDL,2942461",30,31
152,"Largest isolated from Written by BCL::WriteToMDL,3144932",41,44
153,"Largest isolated from Written by BCL::WriteToMDL,767981",34,36
154,"Largest isolated from Written by BCL::WriteToMDL,2846583",52,55
155,"Largest isolated from Written by BCL::WriteToMDL,9104271",50,53
156,"Largest isolated from Written by BCL::WriteToMDL,24817155",43,45
157,"Largest isolated from Written by BCL::WriteToMDL,721013",40,42
158,"Largest isolated from Written by BCL::WriteToMDL,7951074",48,49
159,"Largest isolated from Written by BCL::WriteToMDL,2598144",42,44
160,"Largest isolated from Written by BCL::WriteToMDL,9551932",36,38
161,"Largest isolated from Written by BCL::WriteToMDL,2954747",41,42
162,"Largest isolated from Written by BCL::WriteToMDL,2923756",37,37
163,"Largest isolated from Written by BCL::WriteToMDL,711084",33,34
164,"Largest isolated from Written by BCL::WriteToMDL,5152",67,68
165,"Largest isolated from Written by BCL::WriteToMDL,2738778",33,35
166,"Largest isolated from Written by BCL::WriteToMDL,9556823",22,22
167,"Largest isolated from Written by BCL::WriteToMDL,826733",33,34
168,"Largest isolated from Written by BCL::WriteToMDL,1045737",41,43
169,"Largest isolated from Written by BCL::WriteToMDL,2924404",50,51
170,"Largest isolated from Written by BCL::WriteToMDL,892591",42,43
171,"Largest isolated from Written by BCL::WriteToMDL,17452193",49,51
