molecule_index,block_name,name,atoms,bonds
361,Aromatase_actives_new_000361,mol_000361,28,29
362,Aromatase_actives_new_000362,mol_000362,33,33
363,Aromatase_actives_new_000363,mol_000363,48,51
364,Aromatase_actives_new_000364,mol_000364,42,44
365,Aromatase_actives_new_000365,mol_000365,47,49
366,Aromatase_actives_new_000366,mol_000366,33,36
367,Aromatase_actives_new_000367,mol_000367,40,41
368,Aromatase_actives_new_000368,mol_000368,47,49
369,Aromatase_actives_new_000369,mol_000369,55,56
370,Aromatase_actives_new_000370,mol_000370,69,71
371,Aromatase_actives_new_000371,mol_000371,44,45
372,Aromatase_actives_new_000372,mol_000372,40,43
373,Aromatase_actives_new_000373,mol_000373,22,23
374,Aromatase_actives_new_000374,mol_000374,37,40
375,Aromatase_actives_new_000375,mol_000375,42,46
376,Aromatase_actives_new_000376,mol_000376,47,50
377,Aromatase_actives_new_000377,mol_000377,49,52
378,Aromatase_actives_new_000378,mol_000378,37,36
379,Aromatase_actives_new_000379,mol_000379,45,48
380,Aromatase_actives_new_000380,mol_000380,25,26
381,Aromatase_actives_new_000381,mol_000381,39,42
382,Aromatase_actives_new_000382,mol_000382,57,62
383,Aromatase_actives_new_000383,mol_000383,39,42
384,Aromatase_actives_new_000384,mol_000384,32,34
385,Aromatase_actives_new_000385,mol_000385,30,32
386,Aromatase_actives_new_000386,mol_000386,53,55
387,Aromatase_actives_new_000387,mol_000387,42,43
388,Aromatase_actives_new_000388,mol_000388,43,46
389,Aromatase_actives_new_000389,mol_000389,43,43
390,Aromatase_actives_new_000390,mol_000390,43,42
391,Aromatase_actives_new_000391,mol_000391,45,46
392,Aromatase_actives_new_000392,mol_000392,109,114
393,Aromatase_actives_new_000393,mol_000393,49,51
394,Aromatase_actives_new_000394,mol_000394,67,67
395,Aromatase_actives_new_000395,mol_000395,13,12
396,Aromatase_actives_new_000396,mol_000396,36,36
397,Aromatase_actives_new_000397,mol_000397,30,30
398,Aromatase_actives_new_000398,mol_000398,20,20
399,Aromatase_actives_new_000399,mol_000399,21,23
400,Aromatase_actives_new_000400,mol_000400,50,52
401,Aromatase_actives_new_000401,mol_000401,13,13
402,Aromatase_actives_new_000402,mol_000402,38,40
403,Aromatase_actives_new_000403,mol_000403,22,15
404,Aromatase_actives_new_000404,mol_000404,22,15
405,Aromatase_actives_new_000405,mol_000405,17,17
406,Aromatase_actives_new_000406,mol_000406,18,19
407,Aromatase_actives_new_000407,mol_000407,51,54
408,Aromatase_actives_new_000408,mol_000408,30,30
409,Aromatase_actives_new_000409,mol_000409,35,37
